Timestamp,total-bitcoins
30/09/2020 14:11,18504131.25
30/09/2020 14:40,18504150
30/09/2020 14:57,18504168.75
30/09/2020 15:14,18504187.5
30/09/2020 15:24,18504206.25
30/09/2020 15:41,18504225
30/09/2020 15:58,18504243.75
30/09/2020 16:41,18504262.5
30/09/2020 17:05,18504281.25
30/09/2020 18:18,18504300
30/09/2020 18:38,18504318.75
30/09/2020 18:59,18504337.5
30/09/2020 20:05,18504356.25
30/09/2020 20:54,18504375
30/09/2020 21:36,18504393.75
30/09/2020 22:02,18504412.5
30/09/2020 22:29,18504431.25
30/09/2020 22:48,18504450
30/09/2020 22:58,18504468.75
30/09/2020 23:07,18504487.5
30/09/2020 23:38,18504506.25
01/10/2020 0:07,18504525
01/10/2020 0:20,18504543.75
01/10/2020 0:46,18504562.5
01/10/2020 1:05,18504581.25
01/10/2020 1:23,18504600
01/10/2020 1:35,18504618.75
01/10/2020 2:09,18504637.5
01/10/2020 2:23,18504656.25
01/10/2020 3:35,18504675
01/10/2020 4:11,18504693.75
01/10/2020 4:52,18504712.5
01/10/2020 6:08,18504731.25
01/10/2020 6:46,18504750
01/10/2020 7:41,18504768.75
01/10/2020 8:11,18504787.5
01/10/2020 8:16,18504806.25
01/10/2020 9:06,18504825
01/10/2020 9:52,18504843.75
01/10/2020 10:11,18504862.5
01/10/2020 11:47,18504881.25
01/10/2020 12:08,18504900
01/10/2020 12:58,18504918.75
01/10/2020 13:28,18504937.5
01/10/2020 14:15,18504956.25
01/10/2020 14:41,18504975
01/10/2020 15:45,18504993.75
01/10/2020 16:18,18505012.5
01/10/2020 16:41,18505031.25
01/10/2020 17:10,18505050
01/10/2020 17:32,18505068.75
01/10/2020 17:58,18505087.5
01/10/2020 18:17,18505106.25
01/10/2020 19:06,18505125
01/10/2020 19:50,18505143.75
01/10/2020 20:21,18505162.5
01/10/2020 20:47,18505181.25
01/10/2020 21:02,18505200
01/10/2020 21:28,18505218.75
01/10/2020 21:53,18505237.5
01/10/2020 22:00,18505256.25
01/10/2020 22:45,18505275
01/10/2020 23:38,18505293.75
02/10/2020 0:05,18505312.5
02/10/2020 0:39,18505331.25
02/10/2020 0:54,18505350
02/10/2020 1:13,18505368.75
02/10/2020 2:02,18505387.5
02/10/2020 2:43,18505406.25
02/10/2020 3:11,18505425
02/10/2020 3:43,18505443.75
02/10/2020 4:11,18505462.5
02/10/2020 4:41,18505481.25
02/10/2020 5:12,18505500
02/10/2020 5:29,18505518.75
02/10/2020 5:53,18505537.5
02/10/2020 6:09,18505556.25
02/10/2020 7:03,18505575
02/10/2020 8:06,18505593.75
02/10/2020 8:48,18505612.5
02/10/2020 9:30,18505631.25
02/10/2020 10:37,18505650
02/10/2020 11:03,18505668.75
02/10/2020 12:17,18505687.5
02/10/2020 12:34,18505706.25
02/10/2020 13:02,18505725
02/10/2020 13:19,18505743.75
02/10/2020 13:51,18505762.5
02/10/2020 14:13,18505781.25
02/10/2020 14:32,18505800
02/10/2020 14:44,18505818.75
02/10/2020 15:12,18505837.5
02/10/2020 15:37,18505856.25
02/10/2020 16:03,18505875
02/10/2020 17:03,18505893.75
02/10/2020 17:19,18505912.5
02/10/2020 17:34,18505931.25
02/10/2020 18:10,18505950
02/10/2020 18:45,18505968.75
02/10/2020 19:06,18505987.5
02/10/2020 19:35,18506006.25
02/10/2020 19:57,18506025
02/10/2020 20:52,18506043.75
02/10/2020 21:19,18506062.5
02/10/2020 21:54,18506081.25
02/10/2020 22:13,18506100
02/10/2020 22:24,18506118.75
02/10/2020 22:42,18506137.5
02/10/2020 23:05,18506156.25
02/10/2020 23:45,18506175
03/10/2020 0:29,18506193.75
03/10/2020 1:19,18506212.5
03/10/2020 1:59,18506231.25
03/10/2020 2:09,18506250
03/10/2020 2:51,18506268.75
03/10/2020 3:12,18506287.5
03/10/2020 3:27,18506306.25
03/10/2020 3:42,18506325
03/10/2020 3:56,18506343.75
03/10/2020 4:18,18506362.5
03/10/2020 4:34,18506381.25
03/10/2020 4:44,18506400
03/10/2020 5:06,18506418.75
03/10/2020 5:20,18506437.5
03/10/2020 5:53,18506456.25
03/10/2020 6:30,18506475
03/10/2020 7:25,18506493.75
03/10/2020 8:02,18506512.5
03/10/2020 8:07,18506531.25
03/10/2020 8:14,18506550
03/10/2020 8:49,18506568.75
03/10/2020 9:06,18506587.5
03/10/2020 9:31,18506606.25
03/10/2020 9:42,18506625
03/10/2020 10:36,18506643.75
03/10/2020 10:49,18506662.5
03/10/2020 11:57,18506681.25
03/10/2020 13:25,18506700
03/10/2020 13:36,18506718.75
03/10/2020 13:46,18506737.5
03/10/2020 14:13,18506762.5
03/10/2020 14:37,18506781.25
03/10/2020 15:43,18506800
03/10/2020 15:47,18506818.75
03/10/2020 16:26,18506837.5
03/10/2020 16:35,18506856.25
03/10/2020 17:22,18506875
03/10/2020 17:30,18506893.75
03/10/2020 17:57,18506912.5
03/10/2020 18:11,18506931.25
03/10/2020 18:26,18506950
03/10/2020 19:01,18506968.75
03/10/2020 19:16,18506987.5
03/10/2020 20:17,18507006.25
03/10/2020 20:43,18507025
03/10/2020 21:16,18507043.75
03/10/2020 23:00,18507062.5
03/10/2020 23:20,18507081.25
03/10/2020 23:56,18507100
04/10/2020 0:17,18507118.75
04/10/2020 0:45,18507137.5
04/10/2020 1:03,18507156.25
04/10/2020 1:22,18507175
04/10/2020 1:40,18507193.75
04/10/2020 1:54,18507212.5
04/10/2020 2:07,18507231.25
04/10/2020 2:40,18507250
04/10/2020 2:46,18507268.75
04/10/2020 3:35,18507287.5
04/10/2020 4:19,18507306.25
