Timestamp,market-cap
29/09/2020 2:22,1.97832E+11
29/09/2020 2:33,1.97795E+11
29/09/2020 3:10,1.97434E+11
29/09/2020 3:30,1.97805E+11
29/09/2020 3:46,1.97481E+11
29/09/2020 4:21,1.97713E+11
29/09/2020 4:35,1.97648E+11
29/09/2020 5:14,1.97695E+11
29/09/2020 6:09,1.97741E+11
29/09/2020 7:02,1.9738E+11
29/09/2020 7:35,1.97714E+11
29/09/2020 8:45,1.98556E+11
29/09/2020 9:14,1.98343E+11
29/09/2020 9:27,1.98427E+11
29/09/2020 9:43,1.98501E+11
29/09/2020 10:34,1.98279E+11
29/09/2020 10:50,1.98233E+11
29/09/2020 11:09,1.98187E+11
29/09/2020 11:36,1.98872E+11
29/09/2020 13:00,1.98918E+11
29/09/2020 13:23,1.98854E+11
29/09/2020 13:33,1.98993E+11
29/09/2020 13:45,1.98835E+11
29/09/2020 14:13,1.98993E+11
29/09/2020 14:23,1.98512E+11
29/09/2020 14:42,1.98744E+11
29/09/2020 15:02,1.9891E+11
29/09/2020 15:45,1.98892E+11
29/09/2020 16:25,1.98837E+11
29/09/2020 16:48,1.98846E+11
29/09/2020 17:27,1.9843E+11
29/09/2020 17:49,1.97477E+11
29/09/2020 18:32,1.9714E+11
29/09/2020 19:50,1.9832E+11
29/09/2020 20:44,1.98431E+11
29/09/2020 21:01,1.98699E+11
29/09/2020 21:41,1.98894E+11
29/09/2020 21:44,1.98894E+11
29/09/2020 22:20,1.99283E+11
29/09/2020 22:57,1.99024E+11
29/09/2020 23:30,1.99246E+11
30/09/2020 0:03,1.99071E+11
30/09/2020 0:32,2.00625E+11
30/09/2020 0:50,2.00616E+11
30/09/2020 1:49,2.00107E+11
30/09/2020 2:06,2.0008E+11
30/09/2020 2:33,2.00154E+11
30/09/2020 2:54,1.99664E+11
30/09/2020 3:35,1.9996E+11
30/09/2020 3:45,1.99498E+11
30/09/2020 3:52,1.99498E+11
30/09/2020 4:35,1.98962E+11
30/09/2020 5:16,1.9861E+11
30/09/2020 5:53,1.98823E+11
30/09/2020 6:29,1.98879E+11
30/09/2020 6:46,1.98435E+11
30/09/2020 7:08,1.98047E+11
30/09/2020 7:24,1.98112E+11
30/09/2020 7:32,1.98297E+11
30/09/2020 7:54,1.98408E+11
30/09/2020 8:49,1.98177E+11
30/09/2020 9:54,1.98297E+11
30/09/2020 10:05,1.98011E+11
30/09/2020 10:57,1.97262E+11
30/09/2020 11:17,1.98057E+11
30/09/2020 11:52,1.98178E+11
30/09/2020 12:17,1.98243E+11
30/09/2020 12:31,1.97901E+11
30/09/2020 12:57,1.97494E+11
30/09/2020 13:26,1.9817E+11
30/09/2020 13:51,1.98595E+11
30/09/2020 14:10,1.98346E+11
30/09/2020 14:31,1.9842E+11
30/09/2020 14:55,1.98439E+11
30/09/2020 15:13,1.98568E+11
30/09/2020 15:22,1.98698E+11
30/09/2020 15:39,1.98717E+11
30/09/2020 15:54,1.98884E+11
30/09/2020 16:19,1.99291E+11
30/09/2020 16:49,1.99254E+11
30/09/2020 18:08,1.99393E+11
30/09/2020 18:26,1.99254E+11
30/09/2020 18:51,1.99014E+11
30/09/2020 19:57,1.97802E+11
30/09/2020 20:47,1.97997E+11
30/09/2020 21:29,1.98312E+11
30/09/2020 21:47,1.97886E+11
30/09/2020 22:26,1.98173E+11
30/09/2020 22:42,1.98516E+11
30/09/2020 22:55,1.9834E+11
30/09/2020 23:05,1.98081E+11
30/09/2020 23:36,1.98914E+11
30/09/2020 23:40,1.98914E+11
01/10/2020 0:17,1.98859E+11
01/10/2020 0:26,1.98859E+11
01/10/2020 0:54,1.99507E+11
01/10/2020 1:11,1.99452E+11
01/10/2020 1:33,1.99822E+11
01/10/2020 2:08,1.99489E+11
01/10/2020 2:15,1.99841E+11
01/10/2020 2:35,1.99887E+11
01/10/2020 4:07,2.00193E+11
01/10/2020 4:51,1.99897E+11
01/10/2020 5:40,2.00184E+11
01/10/2020 6:20,1.9987E+11
01/10/2020 7:03,2.00249E+11
01/10/2020 8:02,2.00286E+11
01/10/2020 8:16,2.00407E+11
01/10/2020 8:55,2.00028E+11
01/10/2020 9:38,2.0174E+11
01/10/2020 10:04,2.01361E+11
01/10/2020 11:14,2.01703E+11
01/10/2020 11:56,2.0113E+11
01/10/2020 12:49,2.01435E+11
01/10/2020 13:19,2.01287E+11
01/10/2020 14:01,2.01574E+11
01/10/2020 14:23,2.0126E+11
01/10/2020 14:45,2.01334E+11
01/10/2020 15:50,2.00937E+11
01/10/2020 16:40,2.0127E+11
01/10/2020 17:07,1.98245E+11
01/10/2020 17:31,1.95478E+11
01/10/2020 17:56,1.93563E+11
01/10/2020 18:11,1.94442E+11
01/10/2020 18:47,1.94008E+11
01/10/2020 19:48,1.95368E+11
01/10/2020 20:07,1.95812E+11
01/10/2020 20:30,1.95813E+11
01/10/2020 20:56,1.95489E+11
01/10/2020 21:15,1.95508E+11
01/10/2020 21:44,1.95517E+11
01/10/2020 21:58,1.95462E+11
01/10/2020 22:21,1.96091E+11
01/10/2020 23:32,1.96304E+11
01/10/2020 23:48,1.96452E+11
02/10/2020 0:20,1.95962E+11
02/10/2020 0:44,1.95962E+11
02/10/2020 1:10,1.96286E+11
02/10/2020 2:00,1.95907E+11
02/10/2020 2:42,1.96194E+11
02/10/2020 3:01,1.95898E+11
02/10/2020 3:15,1.9601E+11
02/10/2020 4:09,1.95964E+11
02/10/2020 4:20,1.96149E+11
02/10/2020 5:03,1.96723E+11
02/10/2020 5:24,1.96667E+11
02/10/2020 5:35,1.96862E+11
02/10/2020 6:04,1.96168E+11
02/10/2020 7:01,1.9293E+11
02/10/2020 7:34,1.93846E+11
02/10/2020 8:11,1.94235E+11
02/10/2020 9:20,1.93458E+11
02/10/2020 9:56,1.9368E+11
02/10/2020 11:00,1.93218E+11
02/10/2020 11:53,1.93236E+11
02/10/2020 12:24,1.9344E+11
02/10/2020 12:48,1.93274E+11
02/10/2020 13:10,1.93089E+11
02/10/2020 13:36,1.9394E+11
02/10/2020 13:58,1.93506E+11
02/10/2020 14:30,1.93358E+11
02/10/2020 14:36,1.93358E+11
02/10/2020 15:11,1.94663E+11
