Timestamp,transactions-per-second
2020-09-29 12:30:00,3.8833333333333333
2020-09-29 13:00:00,4.45
2020-09-29 13:30:00,4.85
2020-09-29 14:00:00,4.666666666666667
2020-09-29 14:30:00,4.733333333333333
2020-09-29 15:00:00,4.866666666666666
2020-09-29 15:30:00,5.25
2020-09-29 16:00:00,5.133333333333334
2020-09-29 16:30:00,5.35
2020-09-29 17:00:00,4.85
2020-09-29 17:30:00,4.95
2020-09-29 18:00:00,4.483333333333333
2020-09-29 18:30:00,4.666666666666667
2020-09-29 19:00:00,4.583333333333333
2020-09-29 19:30:00,4.316666666666666
2020-09-29 20:00:00,4.816666666666666
2020-09-29 20:30:00,4.383333333333334
2020-09-29 21:00:00,4.716666666666667
2020-09-29 21:30:00,4.05
2020-09-29 22:00:00,4.133333333333334
2020-09-29 22:30:00,3.75
2020-09-29 23:00:00,3.45
2020-09-29 23:30:00,3.25
2020-09-30 00:00:00,3.216666666666667
2020-09-30 00:30:00,3.1666666666666665
2020-09-30 01:00:00,2.8333333333333335
2020-09-30 01:30:00,2.2666666666666666
2020-09-30 02:00:00,2.433333333333333
2020-09-30 02:30:00,2.4833333333333334
2020-09-30 03:00:00,2.3333333333333335
2020-09-30 03:30:00,2.3333333333333335
2020-09-30 04:00:00,2.433333333333333
2020-09-30 04:30:00,2.4833333333333334
2020-09-30 05:00:00,2.25
2020-09-30 05:30:00,2.466666666666667
2020-09-30 06:00:00,2.566666666666667
2020-09-30 06:30:00,2.966666666666667
2020-09-30 07:00:00,3.0833333333333335
2020-09-30 07:30:00,3.5833333333333335
2020-09-30 08:00:00,3.6666666666666665
2020-09-30 08:30:00,3.5
2020-09-30 09:00:00,3.8333333333333335
2020-09-30 09:30:00,3.65
2020-09-30 10:00:00,4.383333333333334
2020-09-30 10:30:00,3.9
2020-09-30 11:00:00,4.5
2020-09-30 11:30:00,4.75
2020-09-30 12:00:00,4.733333333333333
2020-09-30 12:30:00,4.816666666666666
2020-09-30 13:00:00,4.533333333333333
2020-09-30 13:30:00,4.633333333333334
2020-09-30 14:00:00,4.683333333333334
2020-09-30 14:30:00,4.716666666666667
2020-09-30 15:00:00,5
2020-09-30 15:30:00,5.616666666666666
2020-09-30 16:00:00,5.6
2020-09-30 16:30:00,4.716666666666667
2020-09-30 17:00:00,5.216666666666667
2020-09-30 17:30:00,4.516666666666667
2020-09-30 18:00:00,4.716666666666667
2020-09-30 18:30:00,4.783333333333333
2020-09-30 19:00:00,4.766666666666667
2020-09-30 19:30:00,4.866666666666666
2020-09-30 20:00:00,5.25
2020-09-30 20:30:00,4.133333333333334
2020-09-30 21:00:00,4
2020-09-30 21:30:00,4.433333333333334
2020-09-30 22:00:00,3.85
2020-09-30 22:30:00,3.8666666666666667
2020-09-30 23:00:00,3.8333333333333335
2020-09-30 23:30:00,3.466666666666667
2020-10-01 00:00:00,2.933333333333333
2020-10-01 00:30:00,2.933333333333333
2020-10-01 01:00:00,3
2020-10-01 01:30:00,2.966666666666667
2020-10-01 02:00:00,2.75
2020-10-01 02:30:00,2.716666666666667
2020-10-01 03:00:00,2.25
2020-10-01 03:30:00,2.2666666666666666
2020-10-01 04:00:00,2.9
2020-10-01 04:30:00,2.316666666666667
2020-10-01 05:00:00,2.15
2020-10-01 05:30:00,2.05
2020-10-01 06:00:00,2.5
2020-10-01 06:30:00,2.6166666666666667
2020-10-01 07:00:00,3.4
2020-10-01 07:30:00,3.4166666666666665
2020-10-01 08:00:00,4.083333333333333
2020-10-01 08:30:00,3.7666666666666666
2020-10-01 09:00:00,4.1
2020-10-01 09:30:00,4.133333333333334
2020-10-01 10:00:00,4.483333333333333
2020-10-01 10:30:00,3.6166666666666667
2020-10-01 11:00:00,4.516666666666667
2020-10-01 11:30:00,4.55
2020-10-01 12:00:00,4.133333333333334
2020-10-01 12:30:00,4.483333333333333
2020-10-01 13:00:00,4.166666666666667
2020-10-01 13:30:00,4.2
2020-10-01 14:00:00,4.6
2020-10-01 14:30:00,4.366666666666666
2020-10-01 15:00:00,4.4
2020-10-01 15:30:00,4.133333333333334
2020-10-01 16:00:00,5.35
2020-10-01 16:30:00,5.033333333333333
2020-10-01 17:00:00,4.883333333333334
2020-10-01 17:30:00,5.25
2020-10-01 18:00:00,4.8
2020-10-01 18:30:00,4.266666666666667
2020-10-01 19:00:00,4.25
2020-10-01 19:30:00,3.8833333333333333
2020-10-01 20:00:00,5.016666666666667
2020-10-01 20:30:00,4.133333333333334
2020-10-01 21:00:00,4.366666666666666
2020-10-01 21:30:00,3.9166666666666665
2020-10-01 22:00:00,4.233333333333333
2020-10-01 22:30:00,3.4166666666666665
2020-10-01 23:00:00,3.1
2020-10-01 23:30:00,3.2333333333333334
2020-10-02 00:00:00,3.15
2020-10-02 00:30:00,2.683333333333333
2020-10-02 01:00:00,3.0166666666666666
2020-10-02 01:30:00,2.316666666666667
2020-10-02 02:00:00,2.3833333333333333
2020-10-02 02:30:00,2.2666666666666666
2020-10-02 03:00:00,2.4166666666666665
2020-10-02 03:30:00,2.1333333333333333
2020-10-02 04:00:00,2.4833333333333334
2020-10-02 04:30:00,2.2666666666666666
2020-10-02 05:00:00,2.3333333333333335
2020-10-02 05:30:00,2.4833333333333334
2020-10-02 06:00:00,2.7
2020-10-02 06:30:00,2.5166666666666666
2020-10-02 07:00:00,3.1
2020-10-02 07:30:00,3.1666666666666665
2020-10-02 08:00:00,3.8333333333333335
2020-10-02 08:30:00,3.566666666666667
2020-10-02 09:00:00,3.5166666666666666
2020-10-02 09:30:00,3.816666666666667
2020-10-02 10:00:00,3.5833333333333335
2020-10-02 10:30:00,3.466666666666667
2020-10-02 11:00:00,4.766666666666667
2020-10-02 11:30:00,4.116666666666666
2020-10-02 12:00:00,4.6
2020-10-02 12:30:00,4
2020-10-02 13:00:00,4.383333333333334
2020-10-02 13:30:00,4.05
2020-10-02 14:00:00,4.416666666666667
2020-10-02 14:30:00,4.45
2020-10-02 15:00:00,4.466666666666667
2020-10-02 15:30:00,4.516666666666667
2020-10-02 16:00:00,5.1
2020-10-02 16:30:00,5.166666666666667
2020-10-02 17:00:00,4.983333333333333
2020-10-02 17:30:00,4.916666666666667
2020-10-02 18:00:00,4.583333333333333
2020-10-02 18:30:00,4.666666666666667
2020-10-02 19:00:00,4.516666666666667
2020-10-02 19:30:00,4.183333333333334
2020-10-02 20:00:00,4.716666666666667
2020-10-02 20:30:00,4.283333333333333
2020-10-02 21:00:00,4.016666666666667
2020-10-02 21:30:00,3.85
2020-10-02 22:00:00,3.95
2020-10-02 22:30:00,3.7666666666666666
2020-10-02 23:00:00,3.5833333333333335
2020-10-02 23:30:00,3.1166666666666667
2020-10-03 00:00:00,2.95
2020-10-03 00:30:00,2.85
2020-10-03 01:00:00,2.566666666666667
2020-10-03 01:30:00,2.2333333333333334
2020-10-03 02:00:00,2.2666666666666666
2020-10-03 02:30:00,2.1666666666666665
2020-10-03 03:00:00,2.2666666666666666
2020-10-03 03:30:00,2.2666666666666666
2020-10-03 04:00:00,2.066666666666667
2020-10-03 04:30:00,2.183333333333333
2020-10-03 05:00:00,2.2333333333333334
2020-10-03 05:30:00,1.95
2020-10-03 06:00:00,2.2666666666666666
2020-10-03 06:30:00,2.35
2020-10-03 07:00:00,2.3833333333333333
2020-10-03 07:30:00,2.8333333333333335
2020-10-03 08:00:00,3.3
2020-10-03 08:30:00,3.1333333333333333
